bacia,populacao,domestico_t_ano,reciclavel_t_ano
Outras Bacias,3586011.0,1243449.31425,124344.931425
Bacia Litorânea Central,1129756.0,391742.8929999999,39174.2893
Bacia do Itajaí,859149.0,297909.91575,29790.991575
Bacia Litorânea Norte,714274.0,247674.5095,24767.45095
Bacia do Uruguai,468550.0,162469.7125,16246.971249999999
Bacia do Tubarão,455538.0,157957.8015,15795.780149999999
Bacia do Canoas,227852.0,79007.681,7900.7681
Bacia do Rio do Peixe,169231.0,58680.84925,5868.084925
