NM_MUN,bacia,populacao,domestico_t_ano,reciclavel_t_ano,risco
Dionísio Cerqueira,Outras Bacias,15008.0,5204.023999999999,520.4024,BAIXO
Dona Emma,Outras Bacias,4221.0,1463.63175,146.363175,BAIXO
Doutor Pedrinho,Outras Bacias,3637.0,1261.1297499999998,126.11297499999999,BAIXO
Entre Rios,Outras Bacias,3402.0,1179.6434999999997,117.96434999999997,BAIXO
Ermo,Outras Bacias,2269.0,786.7757499999999,78.67757499999999,BAIXO
Erval Velho,Outras Bacias,4885.0,1693.87375,169.38737500000002,BAIXO
Faxinal dos Guedes,Outras Bacias,11192.0,3880.826,388.0826,BAIXO
Flor do Sertão,Outras Bacias,1783.0,618.25525,61.825525000000006,BAIXO
Florianópolis,Bacia Litorânea Central,537211.0,186277.91424999997,18627.791425,ALTO
Formosa do Sul,Outras Bacias,2682.0,929.9835,92.99835000000002,BAIXO
Forquilhinha,Outras Bacias,31431.0,10898.699249999998,1089.8699249999997,BAIXO
Fraiburgo,Outras Bacias,33481.0,11609.536749999997,1160.9536749999997,BAIXO
Frei Rogério,Outras Bacias,2411.0,836.0142499999998,83.60142499999999,BAIXO
Galvão,Outras Bacias,3210.0,1113.0675,111.30675000000002,BAIXO
Garopaba,Outras Bacias,29959.0,10388.28325,1038.8283250000002,BAIXO
Garuva,Outras Bacias,18545.0,6430.47875,643.0478750000001,BAIXO
Gaspar,Outras Bacias,72570.0,25163.6475,2516.36475,BAIXO
Governador Celso Ramos,Outras Bacias,16915.0,5865.27625,586.5276250000001,BAIXO
Grão-Pará,Outras Bacias,6277.0,2176.54975,217.65497500000004,BAIXO
Gravatal,Outras Bacias,12435.0,4311.83625,431.18362500000006,BAIXO
Guabiruba,Outras Bacias,24543.0,8510.28525,851.0285250000002,BAIXO
Guaraciaba,Outras Bacias,10796.0,3743.5129999999995,374.3513,BAIXO
Guaramirim,Outras Bacias,46711.0,16197.039249999998,1619.7039249999998,BAIXO
Guarujá do Sul,Outras Bacias,4829.0,1674.45575,167.44557500000002,BAIXO
Guatambú,Outras Bacias,8425.0,2921.36875,292.13687500000003,BAIXO
Herval d'Oeste,Outras Bacias,21724.0,7532.797,753.2797,BAIXO
Ibiam,Outras Bacias,2008.0,696.274,69.62740000000001,BAIXO
Ibicaré,Outras Bacias,3269.0,1133.52575,113.352575,BAIXO
Ibirama,Bacia do Itajaí,19862.0,6887.148499999999,688.71485,BAIXO
Içara,Bacia do Tubarão,59035.0,20470.38625,2047.0386250000001,BAIXO
Ilhota,Outras Bacias,17046.0,5910.7005,591.07005,BAIXO
